id,temperature,dissolved_oxygen,created_at,updated_at,ph
3f143023-e7b7-4860-890f-bb12b8f57618,26.75,0,2025-12-24 08:11:33.709616+00,2025-12-24 08:11:33.709616+00,
6a91272b-dbfb-4081-9812-50b9511c26fa,26.81,0,2025-12-24 08:11:36.059078+00,2025-12-24 08:11:36.059078+00,
945b183a-f7d5-44ed-a002-e3a6cbb2868b,26.75,0,2025-12-24 08:11:38.313215+00,2025-12-24 08:11:38.313215+00,
c155e7a4-253d-46ad-bb71-04abac7c0c05,26.75,8.964,2025-12-24 08:12:02.882457+00,2025-12-24 08:12:02.882457+00,
afacf6e3-7bc0-4a08-b98c-d0f443f3603b,26.25,8.978,2025-12-24 08:12:05.136628+00,2025-12-24 08:12:05.136628+00,
778c0c5b-bf8a-458b-9eb9-b1b764521c10,26.12,8.48,2025-12-24 08:12:07.285623+00,2025-12-24 08:12:07.285623+00,
c43fd23c-a06a-46f0-bd5d-7437ef0a1616,26,9.157,2025-12-24 08:12:09.439589+00,2025-12-24 08:12:09.439589+00,
e16b3720-d135-44fd-97f0-3eaab723c966,25.88,9.042,2025-12-24 08:12:11.586032+00,2025-12-24 08:12:11.586032+00,
e44fa5bc-3492-4f8d-a566-ed521f52dce5,25.81,9.591,2025-12-24 08:12:13.751018+00,2025-12-24 08:12:13.751018+00,
eaa37026-2655-41c7-815d-8b1012835ed5,25.69,9.093,2025-12-24 08:12:15.924372+00,2025-12-24 08:12:15.924372+00,
c5738547-de72-40b0-8f9d-399e104dd68e,25.62,9.093,2025-12-24 08:12:18.039897+00,2025-12-24 08:12:18.039897+00,
fca3f9fa-cc1d-466c-a214-e2dd726de855,25.56,8.659,2025-12-24 08:12:20.190708+00,2025-12-24 08:12:20.190708+00,
c89e9379-63ff-489e-b53f-e888d55ab6e5,25.5,8.659,2025-12-24 08:12:22.336042+00,2025-12-24 08:12:22.336042+00,
03a87638-6f6a-4ed8-8a5e-d5f93d253bd4,25.44,8.754,2025-12-24 08:12:24.498792+00,2025-12-24 08:12:24.498792+00,
7746e6b3-f3b9-46cc-83a1-5194d3a53099,25.37,9.073,2025-12-24 08:12:26.752374+00,2025-12-24 08:12:26.752374+00,
9dafa9e7-5a66-49a8-8930-2920b7b0539a,25.31,8.688,2025-12-24 08:12:29.001113+00,2025-12-24 08:12:29.001113+00,
8969ab16-3d99-4aa5-b920-d02581e60362,25.31,9.458,2025-12-24 08:12:31.148573+00,2025-12-24 08:12:31.148573+00,
643ae7f8-ea94-46fb-bcb0-5d6a3c84914a,25.25,7.452,2025-12-24 08:12:33.329052+00,2025-12-24 08:12:33.329052+00,
fbb31a0b-a7d4-4095-8e6c-fbd176459531,25.19,8.555,2025-12-24 08:12:35.45023+00,2025-12-24 08:12:35.45023+00,
1256fda7-ae2a-4cd0-860e-88dd89a45f81,25.19,8.489,2025-12-24 08:12:37.918168+00,2025-12-24 08:12:37.918168+00,
d037b35b-b54d-455d-aae0-3f239cb4c306,25.19,8.236,2025-12-24 08:12:40.061456+00,2025-12-24 08:12:40.061456+00,
f5304d71-9433-4396-92cb-b331a0cb7bc2,25.12,8.236,2025-12-24 08:12:42.25772+00,2025-12-24 08:12:42.25772+00,
f950a3b3-1690-44e7-984d-2e43d7b941ab,25.12,8.037,2025-12-24 08:12:44.359135+00,2025-12-24 08:12:44.359135+00,
4557c4b3-e2f1-412e-8f36-2483bbbd8923,25.12,7.838,2025-12-24 08:12:46.518461+00,2025-12-24 08:12:46.518461+00,
50537f51-b4d3-4094-9c42-531a1e598bde,25.12,7.971,2025-12-24 08:12:48.872757+00,2025-12-24 08:12:48.872757+00,
d3fda752-4de7-439a-ab84-873c3450906a,25.06,8.621,2025-12-24 08:12:51.221585+00,2025-12-24 08:12:51.221585+00,
b2e2c327-bbb0-4774-a078-65a7916076ff,25.06,7.771,2025-12-24 08:12:53.369717+00,2025-12-24 08:12:53.369717+00,
62f2bb05-c4c4-4f4c-81fe-da89fcb610ab,25.06,7.585,2025-12-24 08:12:55.531655+00,2025-12-24 08:12:55.531655+00,
e03aa8a3-15c2-4d22-8956-c77c79d4ded5,25,8.621,2025-12-24 08:12:57.672696+00,2025-12-24 08:12:57.672696+00,
c639385b-2d28-46d9-96e7-32a97c648857,25,7.771,2025-12-24 08:12:59.830465+00,2025-12-24 08:12:59.830465+00,
9332f428-27db-4470-9479-3228d1fa1a6a,25,7.452,2025-12-24 08:13:02.827684+00,2025-12-24 08:13:02.827684+00,
86d02291-5026-40a4-b547-dad80f34dbfc,25,7.452,2025-12-24 08:13:04.945859+00,2025-12-24 08:13:04.945859+00,
2335b799-1a94-4388-ac64-d010189ee814,25,6.416,2025-12-24 08:13:07.148823+00,2025-12-24 08:13:07.148823+00,
6f78200e-649b-4412-a1f0-f285c594cd5f,25,7.652,2025-12-24 08:13:09.255451+00,2025-12-24 08:13:09.255451+00,
fd3ae5da-f41e-4f65-9767-ca2e5520ba34,24.94,7.452,2025-12-24 08:13:11.60678+00,2025-12-24 08:13:11.60678+00,
490ad3b0-f060-40a1-9b0c-1ae98f1a8889,24.94,7.452,2025-12-24 08:13:13.771302+00,2025-12-24 08:13:13.771302+00,
f7133328-0928-42dc-8c80-2d394fceaca2,24.94,7.452,2025-12-24 08:13:15.897113+00,2025-12-24 08:13:15.897113+00,
ebfa3e48-bad5-4daf-90d1-1af4d0b16af0,24.94,7.32,2025-12-24 08:13:18.069754+00,2025-12-24 08:13:18.069754+00,
ac3db968-23da-4502-927b-fcbd8be42d22,24.94,7.386,2025-12-24 08:13:20.207735+00,2025-12-24 08:13:20.207735+00,
0f654a94-a16b-422c-98db-cf3880a0624e,24.94,6.483,2025-12-24 08:13:22.355113+00,2025-12-24 08:13:22.355113+00,
ee0a74f0-53e2-4f20-b6b5-fbb425457afd,24.94,7.001,2025-12-24 08:13:24.510021+00,2025-12-24 08:13:24.510021+00,
ae83e032-1403-4464-8c41-75760653e674,24.94,7.187,2025-12-24 08:13:26.660792+00,2025-12-24 08:13:26.660792+00,
fdffb86b-bf4d-477b-a668-98583d4a6e12,24.94,7.067,2025-12-24 08:13:28.839077+00,2025-12-24 08:13:28.839077+00,
5b99d67d-1e4f-4e4d-8875-1433148d14d8,24.94,7.253,2025-12-24 08:13:30.998387+00,2025-12-24 08:13:30.998387+00,
fef37586-be6b-4ef3-9bd1-8642691f671f,24.94,8.236,2025-12-24 08:13:33.089855+00,2025-12-24 08:13:33.089855+00,
ba204292-ba66-4bdc-bacf-a910f7a6fd7c,24.94,8.754,2025-12-24 08:13:35.151515+00,2025-12-24 08:13:35.151515+00,
ab4b5ba0-d766-4c7c-91ef-f9f0525c0462,24.94,7.187,2025-12-24 08:13:37.306702+00,2025-12-24 08:13:37.306702+00,
1e488e2a-ce51-48db-a365-ee584d9c2f21,24.94,5.513,2025-12-24 08:13:39.556597+00,2025-12-24 08:13:39.556597+00,
e9b8da40-d03e-4f8a-91a2-cda8fb6de401,24.87,7.187,2025-12-24 08:13:42.319152+00,2025-12-24 08:13:42.319152+00,
bf648b6a-b740-4b51-a5ac-7eba2d2a517b,24.81,5.898,2025-12-24 08:13:44.581728+00,2025-12-24 08:13:44.581728+00,
4379c5ac-d1cd-4fbf-95ca-37a34cda7e95,24.81,7.001,2025-12-24 08:13:46.723117+00,2025-12-24 08:13:46.723117+00,
1c3296ff-2022-42b6-a986-7bcfd55c21e2,24.87,6.868,2025-12-24 08:13:48.881842+00,2025-12-24 08:13:48.881842+00,
251c1d8c-461a-4e82-8789-adb6d33dc5f2,24.81,6.801,2025-12-24 08:13:51.038076+00,2025-12-24 08:13:51.038076+00,
7480d52a-877d-43ed-91c7-2d1553927794,24.94,6.934,2025-12-24 08:13:53.175872+00,2025-12-24 08:13:53.175872+00,
e72244dc-94fa-49a8-9959-f84bb6c779e5,24.87,6.669,2025-12-24 08:14:06.690401+00,2025-12-24 08:14:06.690401+00,
d55e8658-e8f5-4b25-8a54-7b5d038427be,24.87,7.134,2025-12-24 08:14:08.839851+00,2025-12-24 08:14:08.839851+00,
b76b7d5e-f76d-4fb4-87da-a6c57af366b2,24.81,6.934,2025-12-24 08:14:10.9958+00,2025-12-24 08:14:10.9958+00,
747fff73-3c08-4cde-a2e1-91fc73f36d09,24.87,6.416,2025-12-24 08:14:13.14605+00,2025-12-24 08:14:13.14605+00,
d62cb04d-ddd8-48fe-ae86-ff3551b0b7f0,24.87,7.718,2025-12-24 08:14:15.295549+00,2025-12-24 08:14:15.295549+00,
0432f425-eb13-470f-8b6c-6584ca5397c9,24.87,6.669,2025-12-24 08:14:17.446126+00,2025-12-24 08:14:17.446126+00,
